Player,PTS,Draft Team,Round,Pick,Draft Year,Draft College,Season,Team,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS.1,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Class
Melvin Frazier,477,ORL,2,35,2018,Tulane,2017-18,Tulane,30,30,34.4,6.0,10.7,4.8,7.7,1.2,3.0,2.8,3.9,1.2,4.4,5.6,2.9,2.2,0.7,2.6,2.0,15.9,0.556,0.623,0.385,0.712,0.631,0.61,G,JR
Kevin Huerter,472,ATL,1,19,2018,Maryland,2017-18,Maryland,32,32,34.4,5.1,10.1,2.8,4.6,2.3,5.5,2.3,3.1,1.0,4.1,5.0,3.4,0.6,0.7,2.5,2.4,14.8,0.503,0.605,0.417,0.758,0.64,0.616,G,SO
Jacob Evans,468,GSW,1,28,2018,Cincinnati,2017-18,Cincinnati,36,36,30.8,4.5,10.5,2.8,6.0,1.7,4.5,2.4,3.2,1.4,3.3,4.7,3.1,1.3,1.0,1.8,2.0,13.0,0.427,0.47,0.37,0.754,0.543,0.507,G,JR
Raymond Spalding,444,PHI,2,56,2018,Louisville,2017-18,Louisville,36,34,27.6,5.1,9.4,4.9,8.8,0.1,0.5,2.0,3.2,3.1,5.5,8.7,1.3,1.5,1.7,1.7,3.0,12.3,0.543,0.56,0.263,0.64,0.568,0.55,F,JR
Josh Okogie,437,MIN,1,20,2018,Georgia Tech,2017-18,Georgia Tech,24,24,36.4,5.5,13.3,4.0,9.2,1.6,4.2,5.5,6.8,2.3,4.0,6.3,2.5,1.8,1.0,2.5,2.9,18.2,0.416,0.432,0.38,0.821,0.55,0.475,G,SO
Omari Spellman,434,ATL,1,30,2018,Villanova,2017-18,Villanova,40,39,28.1,4.0,8.4,2.4,4.7,1.6,3.8,1.2,1.8,2.3,5.8,8.0,0.8,0.7,1.5,1.0,2.3,10.9,0.476,0.511,0.433,0.7,0.588,0.573,F,FR
Thomas Welsh,417,DEN,2,58,2018,UCLA,2017-18,UCLA,33,33,33.2,4.9,10.1,3.5,6.7,1.4,3.4,1.5,1.8,2.6,8.2,10.8,1.4,0.7,0.9,1.0,2.4,12.6,0.485,0.527,0.402,0.828,0.577,0.552,C,SR
Zhaire Smith,417,PHO,1,16,2018,Texas Tech,2017-18,Texas Tech,37,21,28.4,4.2,7.5,3.7,6.4,0.5,1.1,2.5,3.4,2.2,2.8,5.0,1.8,1.1,1.1,1.1,1.8,11.3,0.556,0.574,0.45,0.717,0.618,0.588,G,FR
George King,414,PHO,2,59,2018,Colorado,2017-18,Colorado,32,31,28.5,4.4,10.0,2.5,5.1,1.9,4.9,2.1,2.7,1.8,6.1,7.8,1.1,0.5,0.7,2.0,2.4,12.9,0.445,0.494,0.395,0.782,0.574,0.542,G,SR
Devon Hall,397,OKC,2,53,2018,Virginia,2017-18,Virginia,34,34,32.1,3.9,8.6,2.2,4.7,1.7,3.9,2.2,2.5,0.4,3.9,4.2,3.1,0.9,0.1,1.0,1.4,11.7,0.454,0.472,0.432,0.894,0.599,0.552,G,SR
